"SITE","PLOT","TREAT","Frame","SPP","DIST_M","Live_Dead"
"DALTON","32_2",2,1,"BENE",3,"L"
"DALTON","32_2",2,1,"POTR",5,"L"
"DALTON","32_2",2,1,"PIME",4.1,"D"
"DALTON","32_2",2,1,"SALIX",1.3,"L"
"DALTON","32_2",2,2,"BENE",1.8,"L"
"DALTON","32_2",2,2,"POTR",3.3,"L"
"DALTON","32_2",2,2,"PIME",5.2,"D"
"DALTON","32_2",2,2,"SALIX",1.8,"L"
"DALTON","32_2",2,3,"BENE",2.5,"L"
"DALTON","32_2",2,3,"POTR",3.6,"L"
"DALTON","32_2",2,3,"PIME",3.8,"D"
"DALTON","32_2",2,3,"SALIX",0.7,"L"
"DALTON","32_2",2,4,"BENE",0.9,"L"
"DALTON","32_2",2,4,"POTR",0.6,"L"
"DALTON","32_2",2,4,"PIME",2.5,"D"
"DALTON","32_2",2,4,"SALIX",0.7,"L"
"DALTON","32_2",2,5,"BENE",0.4,"L"
"DALTON","32_2",2,5,"POTR",1.7,"L"
"DALTON","32_2",2,5,"PIME",0.5,"D"
"DALTON","32_2",2,5,"SALIX",1.3,"L"
"DALTON","32_2",2,6,"BENE",3.2,"L"
"DALTON","32_2",2,6,"POTR",2.6,"L"
"DALTON","32_2",2,6,"PIME",3,"D"
"DALTON","32_2",2,6,"SALIX",0.5,"L"
"DALTON","32_2",2,7,"BENE",0.9,"L"
"DALTON","32_2",2,7,"POTR",2.3,"D"
"DALTON","32_2",2,7,"PIME",4.7,"L"
"DALTON","32_2",2,7,"SALIX",0.9,"L"
"DALTON","32_2",2,8,"BENE",0.4,"L"
"DALTON","32_2",2,8,"POTR",2.5,"L"
"DALTON","32_2",2,8,"PIME",2.1,"D"
"DALTON","32_2",2,8,"SALIX",0.8,"L"
"DALTON","32_2",2,9,"BENE",0.3,"L"
"DALTON","32_2",2,9,"POTR",0.6,"L"
"DALTON","32_2",2,9,"PIME",3,"D"
"DALTON","32_2",2,9,"SALIX",0.9,"L"
"DALTON","32_2",2,10,"BENE",1.2,"L"
"DALTON","32_2",2,10,"POTR",0.9,"L"
"DALTON","32_2",2,10,"PIME",1.7,"D"
"DALTON","32_2",2,10,"SALIX",1,"L"
"DALTON","16_2",2,1,"BENE",1.4,"L"
"DALTON","16_2",2,1,"POTR",4.4,"L"
"DALTON","16_2",2,1,"PIME",3,"D"
"DALTON","16_2",2,1,"SALIX",0.1,"L"
"DALTON","16_2",2,1,"ALCR",0.7,"L"
"DALTON","16_2",2,2,"BENE",0.7,"L"
"DALTON","16_2",2,2,"POTR",3.9,"L"
"DALTON","16_2",2,2,"PIME",4.8,"D"
"DALTON","16_2",2,2,"SALIX",0.25,"L"
"DALTON","16_2",2,2,"ALCR",0.4,"L"
"DALTON","16_2",2,3,"BENE",1.7,"L"
"DALTON","16_2",2,3,"POTR",1.4,"L"
"DALTON","16_2",2,3,"PIME",1.1,"D"
"DALTON","16_2",2,3,"SALIX",0.3,"L"
"DALTON","16_2",2,3,"ALCR",1.3,"L"
"DALTON","16_2",2,4,"BENE",1,"L"
"DALTON","16_2",2,4,"POTR",7.2,"L"
"DALTON","16_2",2,4,"PIME",3.3,"L"
"DALTON","16_2",2,4,"SALIX",0.15,"L"
"DALTON","16_2",2,4,"ALCR",1.1,"L"
"DALTON","16_2",2,5,"BENE",0.65,"L"
"DALTON","16_2",2,5,"POTR",2.5,"L"
"DALTON","16_2",2,5,"PIME",2.1,"D"
"DALTON","16_2",2,5,"SALIX",0.75,"L"
"DALTON","16_2",2,5,"ALCR",4.7,"L"
"DALTON","16_2",2,6,"BENE",0.7,"L"
"DALTON","16_2",2,6,"POTR",1.2,"L"
"DALTON","16_2",2,6,"PIME",2.8,"D"
"DALTON","16_2",2,6,"SALIX",0.8,"L"
"DALTON","16_2",2,6,"ALCR",3.6,"L"
"DALTON","16_2",2,7,"BENE",0.5,"L"
"DALTON","16_2",2,7,"POTR",2.8,"L"
"DALTON","16_2",2,7,"PIME",1.7,"D"
"DALTON","16_2",2,7,"SALIX",0.8,"L"
"DALTON","16_2",2,7,"ALCR",3.8,"L"
"DALTON","16_2",2,8,"BENE",0.7,"L"
"DALTON","16_2",2,8,"POTR",2.4,"L"
"DALTON","16_2",2,8,"PIME",2.2,"L"
"DALTON","16_2",2,8,"SALIX",0.2,"L"
"DALTON","16_2",2,8,"ALCR",5,"L"
"DALTON","16_2",2,9,"BENE",2.5,"L"
"DALTON","16_2",2,9,"POTR",1,"L"
"DALTON","16_2",2,9,"PIME",5.6,"L"
"DALTON","16_2",2,9,"SALIX",0.2,"L"
"DALTON","16_2",2,9,"ALCR",4.1,"L"
"DALTON","16_2",2,10,"BENE",3.3,"L"
"DALTON","16_2",2,10,"POTR",0.8,"L"
"DALTON","16_2",2,10,"PIME",0.5,"L"
"DALTON","16_2",2,10,"SALIX",1,"L"
"DALTON","16_2",2,10,"ALCR",1.1,"L"
"DALTON","8_2",2,1,"BENE",1.3,"L"
"DALTON","8_2",2,1,"PIME",2.9,"D"
"DALTON","8_2",2,1,"SALIX",0.5,"L"
"DALTON","8_2",2,1,"ALCR",2.5,"L"
"DALTON","8_2",2,2,"BENE",2.8,"L"
"DALTON","8_2",2,2,"PIME",2.5,"D"
"DALTON","8_2",2,2,"SALIX",2.5,"L"
"DALTON","8_2",2,2,"ALCR",1.5,"L"
"DALTON","8_2",2,3,"BENE",1.7,"L"
"DALTON","8_2",2,3,"PIME",2.1,"L"
"DALTON","8_2",2,3,"SALIX",1.8,"L"
"DALTON","8_2",2,3,"ALCR",0.9,"L"
"DALTON","8_2",2,4,"BENE",1.3,"L"
"DALTON","8_2",2,4,"PIME",0.3,"D"
"DALTON","8_2",2,4,"SALIX",2,"L"
"DALTON","8_2",2,4,"ALCR",0.9,"L"
"DALTON","8_2",2,5,"BENE",1.7,"L"
"DALTON","8_2",2,5,"PIME",1.6,"D"
"DALTON","8_2",2,5,"SALIX",0.6,"L"
"DALTON","8_2",2,5,"ALCR",1,"L"
"DALTON","8_2",2,6,"BENE",3.1,"L"
"DALTON","8_2",2,6,"PIME",1.2,"D"
"DALTON","8_2",2,6,"SALIX",1,"L"
"DALTON","8_2",2,6,"ALCR",2.5,"L"
"DALTON","8_2",2,7,"BENE",2.7,"L"
"DALTON","8_2",2,7,"PIME",1.4,"L"
"DALTON","8_2",2,7,"SALIX",1,"L"
"DALTON","8_2",2,7,"ALCR",1.1,"L"
"DALTON","8_2",2,8,"BENE",2.3,"L"
"DALTON","8_2",2,8,"PIME",1.3,"D"
"DALTON","8_2",2,8,"SALIX",2.2,"L"
"DALTON","8_2",2,8,"ALCR",3,"L"
"DALTON","8_2",2,9,"BENE",1,"L"
"DALTON","8_2",2,9,"PIME",0.8,"D"
"DALTON","8_2",2,9,"SALIX",1.3,"L"
"DALTON","8_2",2,9,"ALCR",0.15,"L"
"DALTON","8_2",2,10,"BENE",3,"L"
"DALTON","8_2",2,10,"PIME",2.8,"L"
"DALTON","8_2",2,10,"SALIX",1.3,"L"
"DALTON","8_2",2,10,"ALCR",1.2,"L"
"DALTON","8_2",2,10,"POTR",3.1,"L"
"DALTON","39_2",2,1,"BENE",1.5,"L"
"DALTON","39_2",2,1,"PIME",2.1,"D"
"DALTON","39_2",2,1,"SALIX",1.6,"L"
"DALTON","39_2",2,1,"ALCR",1.2,"L"
"DALTON","39_2",2,2,"BENE",0.08,"L"
"DALTON","39_2",2,2,"PIME",1.3,"D"
"DALTON","39_2",2,2,"SALIX",0.7,"L"
"DALTON","39_2",2,2,"ALCR",2.2,"L"
"DALTON","39_2",2,3,"BENE",0.01,"L"
"DALTON","39_2",2,3,"PIME",3.4,"D"
"DALTON","39_2",2,3,"SALIX",1.2,"L"
"DALTON","39_2",2,3,"ALCR",2.1,"L"
"DALTON","39_2",2,4,"BENE",1.1,"L"
"DALTON","39_2",2,4,"PIME",1.4,"D"
